geo,name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
nru,Nauru,,,,,,,,,,295.34247,305.31507,272.9589,262.63014
nzl,New Zealand,160.68493,158.16438,157.56164,157.9726,160.87671,159.58904,146.38356,150.9863,149.83562,161.64384,164.10959,167.31507,150.46575
omn,Oman,115.0137,118.87671,108.9589,113.47945,111.36986,108.65753,110.68493,107.91781,98.63014,95.61644,90.68493,67.67123,95.20548
pak,Pakistan,73.23288,68.08219,67.75342,67.53425,69.67123,64.0274,70.76712,64.68493,68.05479,60.49315,75.69863,76.9589,90
pan,Panama,110.93151,131.72603,144.65753,147.72603,149.89041,153.64384,148.9863,151.89041,130.93151,144.87671,131.0137,142.90411,138.57534
per,Peru,60.60274,60.16438,60.73973,61.17808,60.41096,62.54795,63.0411,62.9589,62.82192,60.82192,60.49315,55.0137,55.23288
phl,Philippines,63.69863,64.16438,68.13699,62.35616,64.60274,66.68493,73.75342,59.91781,72.63014,72.21918,71.0411,63.56164,66.32877
png,Papua New Guinea,27.15068,42.41096,41.72603,39.39726,40.41096,56.71233,55.17808,46.68493,31.9726,32.71233,35.45205,29.83562,31.15068
pol,Poland,115.72603,117.36986,117.80822,116.79452,121.20548,110.57534,123.15068,124.24658,124.9863,119.12329,121.69863,125.42466,138.10959
prk,North Korea,10.08219,,,,12.54795,12.27397,12.49315,9.75342,11.83562,,,,
prt,Portugal,130.38356,121.0137,119.0411,108.24658,101.0411,104.05479,110.24658,98.57534,104,95.67123,92.19178,62.84932,79.86301
pry,Paraguay,91.56164,91.58904,89.09589,89.86301,93.91781,92.19178,96.9863,95.9726,81.20548,65.23288,57.83562,56.57534,64.35616
qat,Qatar,,,,,,,,,,99.12329,100.08219,104.9589,119.56164
rou,Romania,73.53425,73.78082,73.72603,74.52055,74.27397,76.71233,80.13699,81.39726,79.28767,84.43836,84.84932,86.19178,85.80822
rus,Russia,211.58904,218,218.68493,219.94521,209.86301,212.82192,208.41096,211.0137,188.52055,172.65753,168.32877,166.57534,169.94521
rwa,Rwanda,18.05479,19.78082,22.43836,21.26027,28.38356,32.16438,30.27397,35.56164,29.34247,38.73973,33.26027,33.26027,39.78082
sau,Saudi Arabia,87.09589,83.72603,83.67123,80.52055,80.30137,81.20548,83.20548,82.60274,83.91781,88.21918,90.93151,84.73973,91.56164
sdn,Sudan,,,92.41096,87.42466,86.43836,88.13699,79.36986,83.36986,74.93151,78.79452,91.26027,94.84932,93.45205
sen,Senegal,57.61644,58.13699,55.47945,48.87671,48.08219,49.9726,53.83562,49.12329,48.57534,52.32877,47.28767,52.9863,52.49315
slb,Solomon Islands,32.38356,26.08219,25.12329,25.23288,46.79452,43.12329,43.78082,46.87671,35.94521,56.65753,52.08219,55.64384,51.69863
sle,Sierra Leone,15.86301,17.15068,19.20548,20.57534,15.0411,23.12329,17.58904,23.42466,23.09589,23.0137,21.42466,15.75342,17.75342
slv,El Salvador,112.63014,118,121.50685,119.26027,110.08219,116.32877,116.05479,109.47945,119.47945,96.46575,92.65753,89.61644,90.79452
som,Somalia,63.72603,58.30137,68.65753,70.76712,104.21918,100.60274,106.19178,98.63014,111.50685,115.0411,121.09589,143.80822,153.75342
srb,Serbia,65.86301,69.0137,65.64384,59.36986,60.87671,55.09589,59.89041,57.47945,54.0274,47.09589,47.78082,35.47945,34.54795
ssd,South Sudan,,,,,,,,,,27.61644,27.45205,32.71233,24.27397
stp,Sao Tome and Principe,85.09589,85.94521,87.9726,97.78082,87.53425,87.94521,88.76712,88.19178,85.45205,93.64384,87.20548,114.52055,97.67123
sur,Suriname,140.16438,124.30137,138.90411,140.05479,142.73973,140.41096,136.43836,146,163.0137,165.45205,167.72603,277.0411,343.42466
svk,Slovak Republic,226.32877,187.45205,188.9589,189.78082,146.71233,158.87671,225.39726,239.58904,230.13699,224.05479,201.9726,171.64384,166.52055
svn,Slovenia,120.87671,117.89041,131.64384,127.58904,126.24658,134.60274,123.83562,138.73973,121.72603,120.49315,110.9589,122.9863,137.89041
swe,Sweden,137.78082,143.89041,145.17808,148.41096,138.63014,131.12329,131.09589,130.46575,132.76712,125.26027,102.08219,107.42466,127.61644
swz,Eswatini,109.34247,114.32877,107.06849,150.30137,126,144.0274,129.39726,156.87671,167.91781,125.56164,142.76712,131.36986,145.23288
syc,Seychelles,124.46575,125.64384,125.91781,126.13699,140.38356,147.39726,168.19178,174.10959,161.56164,142.43836,136.54795,137.34247,112.19178
syr,Syria,115.53425,133.94521,119.23288,113.20548,124.35616,127.80822,128.60274,127.72603,108.73973,78.60274,62.71233,74.71233,56.05479
tcd,Chad,25.94521,28.90411,28.32877,28.05479,26.93151,25.53425,25.45205,25.56164,25.36986,26.54795,26.65753,28.32877,27.72603
tgo,Togo,49.58904,25.31507,36.08219,38.21918,42.32877,44.38356,43.9726,42.41096,40.27397,39.72603,54.46575,63.9726,0.08219
tha,Thailand,228.71233,228.35616,220.68493,216.76712,202.9863,165.80822,168.16438,165.53425,177.83562,174.43836,171.06849,163.47945,142.43836
tjk,Tajikistan,61.69863,57.69863,52.38356,50.9589,57.69863,53.80822,52.16438,54.10959,54.05479,54.38356,49.89041,58.0274,52.60274
tkm,Turkmenistan,61.17808,59.17808,58.79452,55.09589,56.84932,52.52055,45.94521,51.23288,49.0137,52.41096,52.9589,53.75342,52.49315
tls,Timor-Leste,39.09589,52.9589,81.0137,77.56164,78.41096,78.73973,81.72603,76.63014,71.75342,76.21918,77.83562,91.23288,98.54795
ton,Tonga,,,,,,,,,,108.52055,116.43836,109.50685,119.80822
tto,Trinidad and Tobago,178.79452,174.93151,175.80822,205.61644,167.9726,145.0137,154.84932,157.31507,176.63014,143.91781,177.39726,137.78082,123.61644
tun,Tunisia,94.43836,94.24658,93.89041,94.13699,93.80822,93.78082,93.75342,94.24658,92.13699,89.86301,95.75342,93.36986,95.36986
tur,Turkey,92.79452,86.0274,88.21918,89.28767,85.69863,85.94521,85.91781,86.52055,86.57534,86.9863,78.82192,78.54795,79.9726
tuv,Tuvalu,,,,,,,,,,166.54795,157.72603,149.50685,150.76712
