geo,name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ltu,Lithuania,3187.02,3267.15,3244.24,3307.12,3331,3315.26,3321.18,3323.54,3278.18,3295.6,3334.57,3375.66,3406.98
lux,Luxembourg,3469.42,3457.19,3430.15,3429.32,3415.51,3379.82,3366.41,3378.89,3406.83,3513.23,3477.43,3469.91,3483.01
lva,Latvia,3142.54,3164.47,3140.81,3226.57,3205.64,3189.36,3199.82,3207.37,3248.11,3265.73,3242.04,3273.86,3312.72
mar,Morocco,3267.22,3316.26,3331.86,3336.85,3384.41,3373.76,3406.25,3360.02,3412.2,3385.69,3345.7,3369.13,3327.78
mda,Moldova,2660.32,2709.23,2707.96,2760.19,2760.88,2811.71,2874.23,2942.53,3017.15,3014.53,2966.35,2952.61,2888.71
mdg,Madagascar,2137.18,2152.48,2143.1,2094.46,2092.12,2058.81,2047.69,2028.03,2020.58,1994.53,1982.1,1977.18,1978.61
mdv,Maldives,2595.46,2602.63,2612.83,2641.88,2671.21,2701.75,2722.1,2614.34,2565.59,2576.05,2544.9,2612.85,2652.54
mex,Mexico,3176.96,3151.79,3156.11,3149.47,3184.99,3196.37,3219,3224.54,3232.03,3269.63,3271.39,3292.25,3326.33
mhl,Marshall Islands,,,,,,,,,,2981.17,3084.36,3208.36,3269.53
mkd,North Macedonia,2975.73,2927.27,2947.6,2971.98,2927.55,2979.71,2998.42,2985.22,3030.82,3082.51,3124.37,3141.78,3148.14
mli,Mali,2751.35,2757.96,2771.79,2769.83,2731.33,2730.46,2747.08,2761.9,2751.4,2789.67,2812.04,2775.48,2792.42
mlt,Malta,3470.86,3447.53,3460.21,3461.05,3385.82,3410.34,3368.53,3436.48,3395.73,3326.1,3309.37,3328.55,3298.05
mmr,Myanmar,2668.51,2657.94,2668.51,2684.06,2727.72,2754.46,2772.81,2787.18,2777.93,2774.27,2824.09,2815.55,2807.13
mne,Montenegro,3367.56,3411.74,3287.91,3324.9,3303.72,3362.79,3419.67,3451.36,3459.88,3463.49,3470.92,3546.99,3573.56
mng,Mongolia,2439.06,2534.51,2589.9,2568.08,2606.37,2701.06,2731.72,2660.1,2852.65,2857.36,2948.39,3037.6,3088.1
moz,Mozambique,2356.73,2370.76,2277.66,2183.77,2020.96,1902.25,1810.86,1922.57,2054.53,2082.82,2143.19,2169.05,2154.92
mrt,Mauritania,2830.93,2873.33,2932.65,2911.42,2918.12,2906.96,2887.25,2906.11,2940.98,2950.97,2962.26,2964.62,3000.3
mus,Mauritius,3028.03,2991.23,2975.11,2967.91,2968.75,2969.1,2950.95,2980.52,2987.66,3026.01,3064.82,3065.26,3111.1
mwi,Malawi,2574.87,2582.6,2611.58,2608.17,2579.67,2625.3,2596.34,2605.58,2613.83,2596.43,2641.47,2663.38,2642.51
mys,Malaysia,2827.39,2863.68,2888.4,2850.87,2841.54,2891.69,2888.05,2927.92,2939.58,2949.43,2998.17,2979.59,3003.3
nam,Namibia,2216.67,2259.81,2367.37,2401.63,2396.24,2456.23,2484.03,2506.79,2523.27,2575.04,2573.66,2583.97,2586.32
ner,Niger,2541.01,2455.46,2497.02,2502.9,2500.51,2562.45,2591.36,2564.85,2640.98,2595.63,2644.35,2506.7,2631.12
nga,Nigeria,2572.04,2559.65,2546.07,2520.99,2575.87,2567.72,2558.31,2555.96,2531.73,2539.96,2509.8,2542.63,2503.4
nic,Nicaragua,2488.27,2518.22,2527.25,2514.52,2493.26,2496.69,2573.34,2600.05,2575.9,2608.81,2625.38,2668.1,2694.15
nld,Netherlands,3222.97,3225.15,3236.69,3234.29,3244.01,3273.74,3257,3272.9,3317.97,3468.04,3475.43,3507.4,3535.61
nor,Norway,3569.31,3561,3579.12,3561.94,3518.34,3458.56,3417.8,3417.51,3486.88,3533.45,3532.81,3510.94,3504.55
npl,Nepal,2530.49,2566.95,2618.85,2647.44,2678.31,2711.46,2804.17,2829.3,2811.67,2845.23,2899.59,2936.35,2930.74
nru,Nauru,,,,,,,,,,2943.48,2980.76,2996.93,2993.46
nzl,New Zealand,3143.49,3259.19,3230.92,3299.55,3239.97,3210.79,3185.68,3170.61,3194.55,3134.59,3153.29,3137.69,3147.3
omn,Oman,3175.89,3058.39,3036.59,3042.63,3056.44,3050.1,2987.17,3059.55,3075.46,3083.82,3085.47,3032.27,3063.95
pak,Pakistan,2373.62,2386.49,2379.05,2371.29,2431.54,2420.89,2462.34,2486.07,2483.36,2449.86,2484.56,2473.7,2442.99
pan,Panama,2689.19,2754,2796.65,2793.1,2792.58,2801.53,2838.25,2878.57,3042.99,3054,3024.29,3052.26,3061.49
per,Peru,2579.68,2590.43,2653.48,2682.29,2715.55,2740.86,2733.58,2742.97,2767.01,2804.09,2823.15,2800.72,2805.49
phl,Philippines,2454.46,2466.91,2503.12,2502.38,2522.59,2566.43,2638.28,2670.54,2751.14,2811.83,2791.23,2815.47,2848.81
png,Papua New Guinea,2124.4,2154.14,2188.43,2205.12,2229.06,2188.33,2204.24,2212.98,2193.85,2195.21,2228.98,2189.53,2223.03
pol,Poland,3370.2,3397.52,3376.61,3324.53,3345.38,3305.31,3381.54,3428.13,3464.55,3477.48,3524.09,3576.75,3615.99
prk,North Korea,2078.6,2089.99,2098.08,2077.24,2098.8,2068.83,2052.33,2065.11,2003.83,,,,
prt,Portugal,3511.34,3491.25,3460.55,3442.4,3402,3465.35,3406.66,3436.11,3466.66,3484.95,3500.67,3524.63,3510.48
pry,Paraguay,3064.06,3106.87,3046.43,3110.46,3125.97,3086.67,3060.91,3095.25,3104.16,3096.62,3108.58,3089.38,3055.96
qat,Qatar,,,,,,,,,,3481.47,3507.44,3502.29,3540.22
rou,Romania,3374.28,3404.84,3354.95,3417.68,3472.18,3531.43,3576.59,3595.27,3620.16,3645.86,3636.88,3644.36,3623.41
rus,Russia,3296.89,3322.49,3342.66,3320.42,3357.52,3310.76,3325.07,3352.77,3352.8,3347.88,3367.28,3389.1,3453.98
rwa,Rwanda,2121.52,2126.2,2139.61,2146.03,2142.35,2160.45,2188.28,2226.99,2197.86,2197.68,2223.08,2274.56,2315.15
sau,Saudi Arabia,2908.23,2879.78,3027.66,3015.58,3149.03,3201.8,3237.28,3219.14,3214,3220.28,3254.34,3250.45,3276.21
sdn,Sudan,,,2589.5,2648.3,2656.72,2636.8,2607.79,2558.03,2584.67,2572.55,2620.49,2625.05,2648.02
sen,Senegal,2477.28,2462.98,2495.4,2451.63,2476.46,2508.97,2573.19,2615.29,2646.98,2703.97,2776.32,2792.45,2825.66
slb,Solomon Islands,2430.66,2421.48,2391.76,2363.18,2359.68,2389.97,2394.9,2415.69,2413.48,2401.01,2352.31,2311.29,2306.43
sle,Sierra Leone,2375.72,2392.23,2380.53,2366.1,2317.72,2402.27,2312.41,2348.09,2349.1,2296,2312.35,2345.3,2316.5
slv,El Salvador,2608.14,2610.09,2630.47,2620.3,2624.36,2629.46,2675.94,2727.44,2760.49,2821.91,2772.69,2802.49,2835.79
som,Somalia,1519.06,1561.67,1615.77,1665,1710.81,1685.21,1689.66,1728.85,1728.74,1795.39,1831.57,1834.27,1833.48
srb,Serbia,3218.63,3277.76,3289.91,3338.46,3290.51,3335.39,3321.64,3335.19,3387.18,3462.68,3517.85,3575.53,3612.06
ssd,South Sudan,,,,,,,,,,2341.38,2376.03,2413.58,2414.74
stp,Sao Tome and Principe,2341.8,2309.35,2328.92,2358.8,2321.85,2304.24,2351.06,2350.72,2351.77,2375.39,2415.93,2420.04,2376.69
sur,Suriname,2686.07,2640.11,2666.91,2700.45,2705.37,2655.21,2638.97,2636.52,2660.65,2694.28,2674,2634.8,2652.09
svk,Slovak Republic,2818.58,2806.78,2760.34,2855.18,2828.91,2733.95,2853.47,2880.17,2904.03,3024.52,3010.76,2972.98,2982.81
svn,Slovenia,3220.95,3204.97,3196.48,3206.39,3236.5,3197.46,3183.49,3203.68,3193.88,3148.28,3127.82,3084.28,3093.59
swe,Sweden,3205.46,3217.86,3220.55,3216.75,3240.91,3213.7,3215.21,3203.46,3173.12,3240.96,3264.64,3287.03,3327.75
swz,Eswatini,2168.92,2228.32,2300.95,2394.81,2426.19,2405.84,2405.46,2431.84,2497.13,2486.9,2536.02,2549.13,2553.29
syc,Seychelles,2913.43,2860.46,2885.35,2872.75,2922.82,2972.74,3035.5,3083.93,3101.8,3132.18,3182.13,3210.97,3222.29
syr,Syria,3109.29,3076.73,2957.66,2904.77,2872.98,2830.43,2716.42,2656.9,2557.76,2518.22,2455.63,2426.48,2387.19
tcd,Chad,2334.61,2329.58,2386.11,2378.31,2318.8,2285.99,2339.42,2339.58,2315.93,2294.95,2253.34,2190.95,2183.68
tgo,Togo,2413.91,2412.04,2389.4,2413.38,2427.31,2349.68,2400.09,2377.38,2364.21,2436.09,2496.81,2551.81,2596.24
tha,Thailand,2755.3,2742.52,2763.83,2733.27,2770.69,2785.29,2773.01,2762.03,2786.74,2808.95,2856.99,2863.33,2878.04
tjk,Tajikistan,2264.78,2305.28,2322.81,2331.62,2386.6,2455.47,2522.21,2600.36,2680.15,2766.68,2761.36,2771.17,2768.39
tkm,Turkmenistan,2833.9,2808.94,2828.22,2839.35,2922.01,2921.03,2896.52,2902.76,2884.8,2852.63,2867.78,2878.53,2834.63
tls,Timor-Leste,2251.29,2284.1,2274.6,2282.95,2333.73,2298.65,2293.19,2325.18,2274.61,2293.19,2266.78,2240.49,2268.71
ton,Tonga,,,,,,,,,,2987.58,2966.66,3001.34,2965.65
tto,Trinidad and Tobago,2911.92,2970.24,2990.24,3015.28,2982.65,2981.9,2963.63,2979.64,2964.55,2953.28,2953.05,2924.15,2916.47
